Station,Entry_Exit,Trip,Month,Year
Kingsgrove Station,Exit,49565,11,2024
Kingswood Station,Entry,51611,11,2024
Kingswood Station,Exit,47384,11,2024
Kirrawee Station,Entry,41676,11,2024
Kirrawee Station,Exit,39296,11,2024
Kogarah Station,Entry,257902,11,2024
Kogarah Station,Exit,248534,11,2024
Leightonfield Station,Entry,6025,11,2024
Leightonfield Station,Exit,5048,11,2024
Leppington Station,Entry,94047,11,2024
Leppington Station,Exit,89198,11,2024
Leumeah Station,Entry,53875,11,2024
Leumeah Station,Exit,50470,11,2024
Lewisham Station,Entry,64814,11,2024
Lewisham Station,Exit,59286,11,2024
Lidcombe Station,Entry,350695,11,2024
Lidcombe Station,Exit,339337,11,2024
Lindfield Station,Entry,88728,11,2024
Lindfield Station,Exit,85067,11,2024
Liverpool Station,Entry,199548,11,2024
Liverpool Station,Exit,195794,11,2024
Loftus Station,Entry,8761,11,2024
Loftus Station,Exit,7722,11,2024
Macarthur Station,Entry,64680,11,2024
Macarthur Station,Exit,61656,11,2024
Macdonaldtown Station,Entry,25278,11,2024
Macdonaldtown Station,Exit,24934,11,2024
Macquarie Fields Station,Entry,21447,11,2024
Macquarie Fields Station,Exit,20078,11,2024
Marayong Station,Entry,23994,11,2024
Marayong Station,Exit,22060,11,2024
Martin Place Station,Entry,810850,11,2024
Martin Place Station,Exit,901103,11,2024
Mascot Station,Entry,400036,11,2024
Mascot Station,Exit,400147,11,2024
Meadowbank Station,Entry,118297,11,2024
Meadowbank Station,Exit,106985,11,2024
Merrylands Station,Entry,147602,11,2024
Merrylands Station,Exit,143418,11,2024
Milsons Point Station,Entry,178284,11,2024
Milsons Point Station,Exit,185607,11,2024
Minto Station,Entry,64547,11,2024
Minto Station,Exit,60668,11,2024
Miranda Station,Entry,86682,11,2024
Miranda Station,Exit,89125,11,2024
Mortdale Station,Entry,78315,11,2024
Mortdale Station,Exit,70785,11,2024
Mount Colah Station,Entry,13410,11,2024
Mount Colah Station,Exit,12087,11,2024
Mount Druitt Station,Entry,148584,11,2024
Mount Druitt Station,Exit,148137,11,2024
Mount Kuring-gai Station,Entry,4928,11,2024
Mount Kuring-gai Station,Exit,4652,11,2024
Mulgrave Station,Entry,5819,11,2024
Mulgrave Station,Exit,5666,11,2024
Museum Station,Entry,239357,11,2024
Museum Station,Exit,272615,11,2024
Narwee Station,Entry,42597,11,2024
Narwee Station,Exit,38600,11,2024
Newtown Station,Entry,245188,11,2024
Newtown Station,Exit,277320,11,2024
Normanhurst Station,Entry,27102,11,2024
Normanhurst Station,Exit,21648,11,2024
North Strathfield Station,Entry,60960,11,2024
North Strathfield Station,Exit,59483,11,2024
